0,11527053  Calcium supplements were the most commonly used osteoporosis drug
0,12593233  Calcium and vitamin D in moderation also have an excellent safety profile and may actually have benefits far beyond osteoporosis therapy
0,"14670550  In addition, almost every randomized trial of an effective osteoporosis drug therapy has utilized calcium and vitamin D to enhance the efficacy of the drug itself"
0,14670550  Calcium and vitamin D in moderation also have a good safety profile and may actually have benefits far beyond osteoporosis therapy
0,15861036  The efficacy of new osteoporosis therapies is often compared to calcium supplementation
0,"18004026  Calcium and vitamin D are the most commonly used therapies for osteoporosis, although their efficacy in osteoporotic fracture prevention remains uncertain"
0,18774663 OBJECTIVES: The analysis aims to assess (1) compliance with anti-osteoporosis pharmacotherapy and (2) the prevalence of calcium and vitamin D co-medication among Czech women in common clinical practice
0,18774663  Calcium co-medication was associated with obtaining information on medications against osteoporosis from other sources besides health care professionals (P = 0
0,"18774663 CONCLUSION: Compliance with osteoporosis medication in Czech women is suboptimal, in particular the prevalence of co-medication with calcium/vitamin D should be higher"
0,"19313189 Calcium, estrogen, and calcitonin are approved drug therapies for osteoporosis"
0,"21310303  The results of multivariate-adjusted regression analyses indicated that the intake of calcium, plant calcium, potassium, vitamin A, carotene, vitamin B(1), niacin, vitamin E, vitamin C, and vegetables was associated with significantly reduced risk of osteoporosis after adjusting for age, body mass index, hormone replacement therapy, and energy intake"
0,"21956827  Of the patients 60% were receiving medication for prophylaxis or therapy of osteoporosis, 38% calcium/vitamin D alone, 20% as combinations mostly of calcium/vitamin D + bisphosphonate, 1% received bisphosphonate only and 1% hormone replacement therapy"
0,22108482 CONCLUSION: the jaw density in patients with osteoporosis is increased in only 3 months with supplementation with mf Odontovis Calcium®
0,"22885424  The search for evidence was based on real clinical scenarios, and used the following keywords (MeSH terms): Osteoporosis, Osteoporosis/ chemically induced*= (Glucocorticoids= Adrenal Cortex Hormones, Steroids), Glucocorticoids, Glucocorticoids/administration and dosage, Glucocorticoids/therapeutic use, Glucocorticoids/adverse effects, Prednisone/adverse effects, Dose-Response Relationship, Drug, Bone Density/drug effects, Bone Density Conservation Agents/pharmacological action, Osteoporosis/prevention &amp; control, Calcium, Vitamin D, Vitamin D deficiency, Calcitriol, Receptors, Calcitriol; 1-hydroxycholecalciferol, Hydroxycholecalciferols, 25-Hydroxyvitamin D3 1-alpha-hydroxylase OR Steroid Hydroxylases, Prevention and Control, Spinal fractures/prevention &amp; control, Fractures, Spontaneous, Lumbar Vertebrae/injuries, Lifestyle, Alcohol Drinking, Smoking OR tobacco use disorder, Movement, Resistance Training, Exercise Therapy, Bone density OR Bone and Bones, Dual-Energy X-Ray Absorptiometry OR Absorptiometry Photon OR DXA, Densitometry, Radiography, (Diphosphonates Alendronate OR Risedronate Pamidronate OR propanolamines OR Ibandronate OR Zoledronic acid, Teriparatide OR PTH 1-34, Men AND premenopause, pregnancy, pregnancy outcome maternal, fetus, lactation, breast-feeding, teratogens, Children (6-12 years), adolescence (13-18 years)"
0,24641458  Calcium and vitamin D supplements are recommended in all patients with ALD and osteoporosis
0,24910823 Calcium and Vitamin D are widely used therapies for Osteoporosis
0,"3120212  Calcium has been recommended, but because it is considered a food supplement it has not been submitted to FDA for evaluation of its safety and efficacy as a drug in the treatment of osteoporosis"
0,"4743495  Osteoporosis was diagnosed radiologically in seven patients with primary biliary cirrhosis, and calcium absorption was restored to normal in seven out of eight patients after medium-chain triglyceride therapy"
0,"7011633  Calcium supplementation, estrogen replacement therapy, or both are recommended when the patient is at high risk to develop osteoporosis"
0,"7598461  Calcium plus vitamin D, estrogen replacement therapy, calcitonin, and etidronate are agents currently available for treatment of osteoporosis; they act by inhibiting bone resorption"
1,10477499 Unloading of weight bearing bones as induced by microgravity or immobilization has significant impacts on the calcium and bone metabolism and is the most likely cause for space osteoporosis
1,10800873 BACKGROUND: Dietary calcium deficiency may be a risk factor for osteoporosis
1,"11214558  Calcium is a very important element in the treatment of Osteoporosis, because it is the only one that acts in the mineralization phase"
1,"11683549  Reduced supplies of calcium are associated with a reduced bone mass and osteoporosis, whereas a chronic and severe vitamin D deficiency leads to osteomalacia, a metabolic bone disease characterized by a decreased mineralization of bone"
1,"11683549  In 1998, the expert committee of the European Community in the Report on Osteoporosis-Action on prevention, has given the recommended daily dietary allowances (RDA) for calcium at all stage of life"
1,"11683549  Evidence supports routine supplementation for these people at risk of osteoporosis, by providing a daily intake of 700-800 mg of calcium and 400-800 IU of vitamin D"
1,"12207375  Similarly, dental caries and osteoporosis can be considered to be in vivo dissolution of calcium phosphates"
1,"12207375  Similarly, dental caries and osteoporosis can be considered to be in vivo dissolution of calcium phosphates"
1,12593233  As osteoporosis has garnered more attention there seems to be more attention than ever placed on the potential benefits of calcium and vitamin D
1,"12962249  Calcium consumption and exercise affect bone mass, and both may be the most significant factors in preventing osteoporosis"
1,"14670550  In addition, as osteoporosis has garnered more attention there should be more attention than ever placed on the potential benefits of calcium and vitamin D"
1,"15222134  Several risk factors are known in the pathogenesis of osteoporosis, first of all the lack of sufficient calcium and vitamin D intake, age, genetic factors, and circumstances known to predispose falling"
1,"15222134  The quantity of bone can hardly be influenced after the 35th year of age, thus prevention of osteoporosis has special significance: appropriate calcium and vitamin D supplementation, weight-bearing sports and physical activity can prevent fractures"
1,"15861036  Postmenopausal women with osteoporosis from a 3-year study comparing calcitriol versus calcium for prevention of vertebral fractures were genotyped for VDR alleles detected by FokI, BsmI, ApaI and TaqI"
1,1593603  Adequate calcium supply should contribute to peak bone mass and therefore prevention of osteoporosis later in life
1,17999024  Adequate calcium with or without vitamin D significantly reduced the odds of osteoporosis but not the risk of fracture in these Caucasian women
1,17999024  The impact of calcium and vitamin D on risk of osteoporosis and fracture was evaluated by logistic regression adjusted for multiple covariates
1,"17999024 CONCLUSIONS: Thus, higher calcium and vitamin D intakes significantly reduced the odds of osteoporosis but not the 3-year risk of fracture in these Caucasian women"
1,1897281  Calcium may play a role in prevention of osteoporosis
1,21289325 PURPOSE: The most recent large-scale studies evaluating the effects of calcium supplementation for prevention of osteoporosis-related fractures in postmenopausal women are reviewed
1,21289325  Postmenopausal women should continue calcium supplementation to reduce osteoporosis risk
